agent_id,old_id,name_lang,language,commentary,note,created,created_by,last_modified,last_modified_by
NULL,P1046,zh,NULL,,,2019-12-12,MG,2019-12-12,MG
NULL,P1047,en,NULL,,,2019-12-17,MG,2019-12-17,MG
NULL,P1047,ru,NULL,,,2019-12-17,MG,2019-12-17,MG
NULL,P1047,zh,NULL,,,2019-12-17,MG,2020-01-06,MG
NULL,P1048,en,NULL,,,2020-01-06,MG,2020-01-06,MG
NULL,P1048,zh,NULL,,,2020-01-06,MG,2020-01-06,MG
NULL,P1049,en,NULL,,,2020-01-08,MG,2020-01-08,MG
NULL,P1049,zh,NULL,,,2020-01-08,MG,2020-01-08,MG
NULL,P1050,en,NULL,,,2020-01-08,MG,2020-05-20,MG
NULL,P1051,en,NULL,,,2020-01-08,MG,2020-01-08,MG
NULL,P1051,zh,NULL,,,2020-01-08,MG,2020-01-08,MG
NULL,P1052,fr,NULL,,,2020-01-15,MG,2020-01-15,MG
NULL,P1052,zh,NULL,,,2020-01-15,MG,2020-01-15,MG
NULL,P1053,en,NULL,,,2020-01-15,MG,2020-01-15,MG
NULL,P1053,zh,NULL,,,2020-01-15,MG,2020-01-15,MG
NULL,P1054,en,NULL,,,2020-02-01,MG,2020-02-01,MG
NULL,P1054,zh,NULL,,,2020-02-01,MG,2020-02-01,MG
NULL,P1055,en,NULL,,,2020-02-06,MG,2020-02-06,MG
NULL,P1055,zh,NULL,,,2020-02-06,MG,2020-02-06,MG
NULL,P1056,en,NULL,,,2020-02-13,MG,2020-05-20,MG
NULL,P1057,en,NULL,,,2020-02-14,MG,2020-02-14,MG
NULL,P1057,zh,NULL,,,2020-02-14,MG,2020-02-14,MG
NULL,P1058,en,NULL,,,2020-02-14,MG,2020-05-20,MG
NULL,P1058,zh,NULL,,,2020-02-14,MG,2020-05-20,MG
NULL,P1059,en,NULL,,,2020-02-14,MG,2020-05-20,MG
NULL,P1059,zh,NULL,,,2020-02-14,MG,2020-05-20,MG
NULL,P1060,en,NULL,,,2020-02-14,MG,2020-05-20,MG
NULL,P1061,en,NULL,,,2020-02-14,MG,2020-05-20,MG
NULL,P1061,zh,NULL,,,2020-02-14,MG,2020-05-20,MG
NULL,P1062,en,NULL,,,2020-02-14,MG,2020-05-20,MG
NULL,P1062,zh,NULL,,,2020-02-14,MG,2020-05-20,MG
NULL,P1063,en,NULL,,,2020-02-14,MG,2020-02-14,MG
NULL,P1064,en,NULL,,,2020-05-16,MG,2020-05-20,MG
NULL,P1064,zh,NULL,,,2020-05-16,MG,2020-05-20,MG
NULL,P1065,en,NULL,,,2020-05-19,MG,2020-05-20,MG
NULL,P1066,en,NULL,,,2020-05-25,MG,2020-05-25,MG
NULL,P1066,zh,NULL,,,2020-05-25,MG,2020-06-27,MG
NULL,P1067,en,NULL,,,2020-05-25,MG,2020-05-25,MG
NULL,P1067,zh,NULL,,,2020-05-25,MG,2020-05-25,MG
NULL,P1068,en,NULL,,,2020-05-26,MG,2020-06-04,MG
NULL,P1069,en,NULL,,,2020-05-26,MG,2020-06-04,MG
NULL,P1070,en,NULL,,,2020-05-28,MG,2020-06-04,MG
NULL,P1071,en,NULL,,,2020-05-28,MG,2020-06-04,MG
NULL,P1072,en,NULL,He is known for being a hard-working guy but laughed and treated badly because he is a mute,,2020-05-28,MG,2020-06-04,MG
NULL,P1073,en,NULL,,,2020-05-28,MG,2020-06-04,MG
NULL,P1074,en,NULL,,,2020-05-28,MG,2020-05-28,MG
NULL,P1074,zh,NULL,,,2020-05-28,MG,2020-05-28,MG
NULL,P1075,en,NULL,,,2020-05-28,MG,2020-06-04,MG
NULL,P1075,zh,NULL,,,2020-05-28,MG,2020-06-04,MG
NULL,P1076,en,NULL,,,2020-06-18,MG,2020-06-18,MG
NULL,P1077,en,NULL,,,2020-06-18,MG,2020-06-18,MG
NULL,P1078,en,NULL,,,2020-06-18,MG,2020-06-18,MG
NULL,P1079,en,NULL,,,2020-06-18,MG,2020-06-18,MG
NULL,P1080,en,NULL,,,2020-06-18,MG,2020-06-18,MG
NULL,P1081,en,NULL,,,2020-06-18,MG,2020-06-18,MG
NULL,P1081,zh,NULL,,,2020-06-18,MG,2020-06-18,MG
NULL,P1082,de,NULL,,,2020-06-29,MG,2020-06-29,MG
NULL,P1082,zh,NULL,,,2020-06-29,MG,2020-06-29,MG
NULL,P1083,en,NULL,,,2020-06-29,MG,2020-06-29,MG
NULL,P1083,zh,NULL,,,2020-06-29,MG,2020-06-29,MG
NULL,P1084,en,NULL,,,2020-06-29,MG,2020-06-29,MG
NULL,P1084,zh,NULL,,,2020-06-29,MG,2020-06-29,MG
NULL,P1085,en,NULL,,,2020-06-29,MG,2020-06-29,MG
NULL,P1085,zh,NULL,,,2020-06-29,MG,2020-06-29,MG
NULL,P1086,en,NULL,,,2020-06-29,MG,2020-06-29,MG
NULL,P1087,en,NULL,,,2020-06-30,MG,2020-06-30,MG
NULL,P1087,zh,NULL,,,2020-06-30,MG,2020-06-30,MG
NULL,P1088,en,NULL,He seems to have incorporated notions of what a Socialist hero should be like (SS00608; German edition p.92-93),please add the Chinese characters,2020-08-07,MG,2021-01-18,MG
NULL,P1089,en,NULL,,please add the Chinese characters,2020-08-07,MG,2021-01-16,MG
NULL,P1090,en,NULL,,please add the Chinese characters,2020-08-07,MG,2021-01-16,MG
NULL,P1091,en,NULL,,,2020-08-07,MG,2020-08-07,MG
NULL,P1091,zh,NULL,,,2020-08-07,MG,2020-08-07,MG
NULL,P1092,de,NULL,,,2020-08-07,MG,2020-08-07,MG
NULL,P1092,zh,NULL,,,2020-08-07,MG,2020-08-07,MG
NULL,P1093,en,NULL,,,2021-01-16,MG,2021-01-16,MG
NULL,P1093,ru,NULL,,,2021-01-16,MG,2021-01-16,MG
NULL,P1093,zh,NULL,,,2021-01-16,MG,2021-01-18,MG
NULL,P1094,en,NULL,,,2021-02-24,MG,2021-03-08,MG
NULL,P1094,zh,NULL,,,2021-03-08,MG,2021-03-08,MG
NULL,P1095,en,NULL,,,2021-02-24,MG,2021-04-05,MG
NULL,P1095,zh,NULL,,,2021-03-08,MG,2021-04-05,MG
NULL,P1096,en,NULL,,,2021-02-24,MG,2021-03-08,MG
NULL,P1096,zh,NULL,,,2021-02-25,MG,2021-03-08,MG
NULL,P1097,en,NULL,,,2021-02-24,MG,2021-03-08,MG
NULL,P1097,zh,NULL,,,2021-02-24,MG,2021-03-08,MG
NULL,P1098,en,NULL,,,2021-02-24,MG,2021-03-10,MG
NULL,P1098,zh,NULL,,,2021-03-08,MG,2021-03-10,MG
NULL,P1099,en,NULL,,,2021-02-24,MG,2021-03-09,MG
NULL,P1099,zh,NULL,,,2021-03-09,MG,2021-03-09,MG
NULL,P1100,en,NULL,,,2021-02-24,MG,2021-03-09,MG
NULL,P1100,zh,NULL,,,2021-03-04,MG,2021-03-09,MG
NULL,P1101,en,NULL,,,2021-02-24,MG,2021-03-08,MG
NULL,P1101,zh,NULL,,,2021-04-05,MG,2021-04-05,MG
NULL,P1102,en,NULL,,,2021-02-24,MG,2021-04-05,MG
NULL,P1102,zh,NULL,,,2021-04-05,MG,2021-04-05,MG
NULL,P1103,en,NULL,,,2021-02-27,MG,2021-03-09,MG
NULL,P1103,zh,NULL,,,2021-02-27,MG,2021-03-09,MG
NULL,P1104,en,NULL,,,2021-02-27,MG,2021-04-05,MG
NULL,P1104,zh,NULL,,,2021-04-05,MG,2021-04-05,MG
NULL,P1105,en,NULL,,,2021-02-27,MG,2021-03-09,MG
NULL,P1105,zh,NULL,,,2021-03-09,MG,2021-03-09,MG
NULL,P1106,en,NULL,,,2021-02-27,MG,2021-03-08,MG
NULL,P1106,zh,NULL,,,2021-03-08,MG,2021-03-08,MG
NULL,P1107,en,NULL,,,2021-02-27,MG,2021-03-09,MG
NULL,P1107,zh,NULL,,,2021-02-27,MG,2021-03-09,MG
NULL,P1108,en,NULL,,,2021-02-27,MG,2021-03-08,MG
NULL,P1108,zh,NULL,,,2021-03-08,MG,2021-03-08,MG
NULL,P1109,en,NULL,,,2021-02-27,MG,2021-04-05,MG
NULL,P1109,zh,NULL,,,2021-03-09,MG,2021-04-05,MG
NULL,P1110,en,NULL,,,2021-02-27,MG,2021-03-10,MG
NULL,P1110,zh,NULL,,,2021-03-10,MG,2021-03-10,MG
NULL,P1111,en,NULL,,,2021-02-27,MG,2021-04-05,MG
NULL,P1111,zh,NULL,,,2021-04-05,MG,2021-04-05,MG
NULL,P1112,en,NULL,,,2021-02-27,MG,2021-04-05,MG
NULL,P1112,zh,NULL,,,2021-04-05,MG,2021-04-05,MG
NULL,P1113,en,NULL,,,2021-03-03,MG,2021-04-05,MG
NULL,P1113,zh,NULL,,,2021-04-05,MG,2021-04-05,MG
NULL,P1114,en,NULL,,,2021-03-03,MG,2021-03-09,MG
NULL,P1114,zh,NULL,,,2021-03-09,MG,2021-03-09,MG
NULL,P1115,en,NULL,,,2021-03-03,MG,2021-03-09,MG
NULL,P1115,zh,NULL,,,2021-03-09,MG,2021-03-09,MG
NULL,P1116,en,NULL,,,2021-03-03,MG,2021-03-09,MG
NULL,P1116,zh,NULL,,,2021-03-03,MG,2021-03-09,MG
NULL,P1117,en,NULL,,was Chi rusticated?,2021-03-03,MG,2021-03-09,MG
NULL,P1117,zh,NULL,,was Chi rusticated?,2021-03-03,MG,2021-03-09,MG
NULL,P1118,en,NULL,,age and narrative status need to be added,2021-03-03,MG,2021-03-10,MG
NULL,P1118,zh,NULL,,age and narrative status need to be added,2021-03-03,MG,2021-03-10,MG
NULL,P1119,en,NULL,,,2021-03-04,MG,2021-03-09,MG
NULL,P1119,zh,NULL,,,2021-03-04,MG,2021-03-09,MG
NULL,P1120,en,NULL,,,2021-03-04,MG,2021-03-09,MG
NULL,P1120,zh,NULL,,,2021-03-04,MG,2021-03-09,MG
NULL,P1121,en,NULL,,,2021-03-12,MG,2021-04-06,MG
NULL,P1122,en,NULL,,,2021-03-12,MG,2021-03-12,MG
NULL,P1122,zh,NULL,,,2021-03-12,MG,2021-03-18,MG
NULL,P1123,en,NULL,,,2021-03-12,MG,2021-04-06,MG
NULL,P1124,en,NULL,,,2021-03-15,MG,2021-03-15,MG
NULL,P1125,en,NULL,,,2021-03-15,MG,2021-03-15,MG
NULL,P1126,en,NULL,,,2021-03-15,MG,2021-03-15,MG
NULL,P1126,zh,NULL,,,2021-03-15,MG,2021-03-18,MG
NULL,P1127,en,NULL,,,2021-03-15,MG,2021-03-15,MG
NULL,P1127,zh,NULL,,,2021-03-23,MG,2021-03-23,MG
NULL,P1128,en,NULL,omniscient narrator,,2021-03-18,MG,2021-03-18,MG
NULL,P1129,en,NULL,,,2021-03-18,MG,2021-03-18,MG
NULL,P1130,fr,NULL,,,2021-03-18,MG,2021-03-18,MG
NULL,P1130,zh,NULL,,,2021-03-23,MG,2021-03-23,MG
NULL,P1131,en,NULL,,,2021-03-18,MG,2021-03-18,MG
NULL,P1131,zh,NULL,,,2021-03-23,MG,2021-03-23,MG
NULL,P1132,en,NULL,,,2021-03-18,MG,2021-03-18,MG
NULL,P1132,zh,NULL,,,2021-03-23,MG,2021-03-23,MG
NULL,P1133,en,NULL,,,2021-03-18,MG,2021-03-18,MG
NULL,P1133,zh,NULL,,,2021-03-18,MG,2021-03-18,MG
NULL,P1134,en,NULL,,,2021-03-23,MG,2021-03-25,MG
NULL,P1134,zh,NULL,,,2021-03-23,MG,2021-03-25,MG
NULL,P1135,en,NULL,omniscient narrator,,2021-03-23,MG,2021-03-25,MG
NULL,P1136,en,NULL,,,2021-03-23,MG,2021-03-23,MG
NULL,P1136,zh,NULL,,,2021-03-23,MG,2021-03-23,MG
NULL,P1137,en,NULL,,,2021-03-24,MG,2021-03-24,MG
NULL,P1137,zh,NULL,,,2021-03-24,MG,2021-03-24,MG
NULL,P1138,en,NULL,,,2021-03-24,MG,2021-03-25,MG
NULL,P1138,zh,NULL,,,2021-03-24,MG,2021-03-25,MG
NULL,P1139,en,NULL,,,2021-03-24,MG,2021-03-25,MG
NULL,P1139,zh,NULL,,,2021-03-24,MG,2021-03-25,MG
NULL,P1141,en,NULL,,,2021-03-26,MG,2021-03-26,MG
NULL,P1142,zh,NULL,,,2021-03-26,MG,2021-03-26,MG
NULL,P1143,en,NULL,,,2021-04-06,MG,2021-04-06,MG
NULL,P1143,zh,NULL,,,2021-04-06,MG,2021-04-06,MG
NULL,P1144,en,NULL,,,2021-04-06,MG,2021-04-06,MG
NULL,P1144,zh,NULL,,,2021-04-06,MG,2021-04-06,MG
NULL,P1145,en,NULL,,,2021-04-06,MG,2021-04-06,MG
NULL,P1145,zh,NULL,,,2021-04-06,MG,2021-04-06,MG
NULL,P1146,en,NULL,,,2021-04-06,MG,2021-04-06,MG
NULL,P1147,en,NULL,,,2021-04-06,MG,2021-04-06,MG
NULL,P1147,zh,NULL,,,2021-04-06,MG,2021-04-06,MG
NULL,P1148,en,NULL,,,2021-04-06,MG,2021-04-06,MG
NULL,P1149,en,NULL,,,2021-04-15,MG,2021-04-15,MG
NULL,P1150,en,NULL,,,2021-04-15,MG,2021-04-15,MG
NULL,P1151,en,NULL,,,2021-04-15,MG,2021-04-15,MG
NULL,P1152,en,NULL,,,2021-04-15,MG,2021-04-15,MG
NULL,P1153,en,NULL,,,2021-04-15,MG,2021-04-15,MG
NULL,P1154,en,NULL,,,2021-04-15,MG,2021-04-15,MG
NULL,P1154,zh,NULL,,,2021-04-15,MG,2021-04-15,MG
NULL,P1155,en,NULL,first person narrator,,2021-05-05,MG,2021-05-05,MG
NULL,P1156,en,NULL,,,2021-05-05,MG,2021-07-25,MG
NULL,P1156,zh,NULL,,,2021-05-05,MG,2021-07-25,MG
NULL,P1157,en,NULL,calls himself a Technologist-Buddhist,,2021-05-05,MG,2021-05-05,MG
NULL,P1158,en,NULL,,,2021-05-05,MG,2021-05-05,MG
NULL,P1158,zh,NULL,,,2021-05-05,MG,2021-05-05,MG
NULL,P1159,en,NULL,,,2021-06-05,MG,2021-06-05,MG
NULL,P1159,zh,NULL,,,2021-06-05,MG,2021-06-05,MG
NULL,P1160,en,NULL,,,2021-06-05,MG,2021-06-05,MG
NULL,P1160,zh,NULL,,,2021-06-05,MG,2021-06-05,MG
NULL,P1161,en,NULL,,,2021-06-07,MG,2021-06-07,MG
NULL,P1161,zh,NULL,,,2021-06-07,MG,2021-06-07,MG
NULL,P1162,en,NULL,first person narrator,,2021-06-07,MG,2021-06-07,MG
NULL,P1163,en,NULL,,,2021-06-09,MG,2021-06-09,MG
NULL,P1164,en,NULL,,,2021-06-09,MG,2021-06-09,MG
NULL,P1164,zh,NULL,,,2021-06-09,MG,2021-06-09,MG
NULL,P1165,en,NULL,omniscient narrator,,2021-06-14,MG,2021-06-14,MG
NULL,P1166,en,NULL,,,2021-06-14,MG,2021-06-14,MG
NULL,P1167,en,NULL,,,2021-06-14,MG,2021-06-14,MG
NULL,P1168,en,NULL,omniscient narrator,,2021-06-14,MG,2021-06-14,MG
NULL,P1169,en,NULL,,,2021-06-14,MG,2021-06-14,MG
NULL,P1169,zh,NULL,,,2021-06-14,MG,2021-07-25,MG
NULL,P1170,en,NULL,first person narrator,,2021-06-14,MG,2021-06-14,MG
NULL,P1171,fr,NULL,,,2021-06-14,MG,2021-06-14,MG
NULL,P1171,zh,NULL,,,2021-06-14,MG,2021-06-14,MG
NULL,P1172,en,NULL,,,2021-06-14,MG,2021-06-14,MG
NULL,P1172,zh,NULL,,,2021-06-14,MG,2021-06-14,MG
NULL,P1173,en,NULL,,,2021-06-14,MG,2021-06-14,MG
NULL,P1173,zh,NULL,,,2021-06-14,MG,2021-06-14,MG
NULL,P1174,en,NULL,first person narrator,,2021-06-14,MG,2021-06-14,MG
NULL,P1175,en,NULL,first person narrator,,2021-06-15,MG,2021-06-15,MG
NULL,P1176,ja,NULL,,,2021-06-15,MG,2021-06-23,MG
NULL,P1177,en,NULL,,,2021-06-16,MG,2021-06-16,MG
NULL,P1177,zh,NULL,,,2021-06-16,MG,2021-06-16,MG
NULL,P1178,en,NULL,first person narrator,,2021-06-21,MG,2021-06-21,MG
NULL,P1179,en,NULL,,,2021-06-21,MG,2021-06-23,MG
NULL,P1180,en,NULL,,,2021-06-21,MG,2021-06-23,MG
NULL,P1181,en,NULL,omniscient narrator,,2021-06-21,MG,2021-06-21,MG
NULL,P1182,en,NULL,,,2021-06-21,MG,2021-06-21,MG
NULL,P1182,zh,NULL,,,2021-06-21,MG,2021-06-21,MG
NULL,P1183,en,NULL,,,2021-06-21,MG,2021-06-23,MG
NULL,P1184,en,NULL,,,2021-06-21,MG,2021-06-23,MG
NULL,P1185,en,NULL,,,2021-06-22,MG,2021-06-22,MG
NULL,P1185,zh,NULL,,,2021-06-22,MG,2021-06-22,MG
NULL,P1186,en,NULL,first person narrator,,2021-06-22,MG,2021-06-22,MG
NULL,P1187,en,NULL,,,2021-06-22,MG,2021-06-23,MG
NULL,P1188,en,NULL,,,2021-06-22,MG,2021-06-22,MG
NULL,P1188,zh,NULL,,,2021-06-22,MG,2021-06-22,MG
NULL,P1189,en,NULL,,,2021-06-22,MG,2021-06-22,MG
NULL,P1189,zh,NULL,,,2021-06-22,MG,2021-07-25,MG
NULL,P1190,en,NULL,,,2021-06-22,MG,2021-06-22,MG
NULL,P1190,zh,NULL,,,2021-06-22,MG,2021-06-22,MG
NULL,P1191,en,NULL,,,2021-06-22,MG,2021-06-22,MG
NULL,P1192,en,NULL,,,2021-06-22,MG,2021-06-22,MG
NULL,P1193,en,NULL,,,2021-06-22,MG,2021-06-23,MG
NULL,P1194,en,NULL,,,2021-06-22,MG,2021-06-23,MG
NULL,P1195,en,NULL,,,2021-06-22,MG,2021-06-23,MG
NULL,P1196,en,NULL,,,2021-06-23,MG,2021-06-23,MG
NULL,P1196,zh,NULL,,,2021-06-23,MG,2021-06-23,MG
NULL,P1197,en,NULL,,please check,2021-06-23,MG,2021-06-23,MG
NULL,P1198,en,NULL,,please check,2021-06-23,MG,2021-07-25,MG
NULL,P1199,en,NULL,,,2021-06-23,MG,2021-06-23,MG
NULL,P1199,zh,NULL,,,2021-06-23,MG,2021-06-23,MG
NULL,P1200,en,NULL,,,2021-06-23,MG,2021-06-23,MG
NULL,P1200,zh,NULL,,,2021-06-23,MG,2021-06-23,MG
NULL,P1201,en,NULL,,please check,2021-06-23,MG,2021-07-25,MG
NULL,P1202,en,NULL,,please check,2021-06-23,MG,2021-07-25,MG
NULL,P1203,en,NULL,,,2021-06-23,MG,2021-07-02,MG
NULL,P1203,zh,NULL,,,2021-07-02,MG,2021-07-02,MG
NULL,P1204,en,NULL,,,2021-06-23,MG,2021-07-25,MG
NULL,P1205,en,NULL,,,2021-06-23,MG,2021-06-23,MG
NULL,P1205,zh,NULL,,,2021-06-23,MG,2021-06-23,MG
NULL,P1206,en,NULL,,,2021-06-23,MG,2021-06-23,MG
NULL,P1206,zh,NULL,,,2021-06-23,MG,2021-06-23,MG
NULL,P1207,en,NULL,,,2021-06-23,MG,2021-06-23,MG
NULL,P1207,zh,NULL,,,2021-06-23,MG,2021-06-23,MG
NULL,P1208,en,NULL,,,2021-06-23,MG,2021-06-23,MG
NULL,P1208,zh,NULL,,,2021-06-23,MG,2021-06-23,MG
NULL,P1209,en,NULL,,,2021-06-23,MG,2021-06-23,MG
NULL,P1209,zh,NULL,,,2021-06-23,MG,2021-06-23,MG
NULL,P1210,en,NULL,,,2021-06-23,MG,2021-06-23,MG
NULL,P1210,zh,NULL,,,2021-06-23,MG,2021-06-23,MG
NULL,P1211,en,NULL,,,2021-06-23,MG,2021-06-23,MG
NULL,P1211,zh,NULL,,,2021-06-23,MG,2021-06-23,MG
NULL,P1212,en,NULL,,,2021-06-23,MG,2021-06-23,MG
NULL,P1212,zh,NULL,,,2021-06-23,MG,2021-06-23,MG
NULL,P1213,en,NULL,,,2021-07-02,MG,2021-07-02,MG
NULL,P1213,zh,NULL,,,2021-07-02,MG,2021-07-02,MG
NULL,P1214,en,NULL,,,2021-07-02,MG,2021-07-03,MG
NULL,P1214,zh,NULL,,,2021-07-02,MG,2021-07-02,MG
NULL,P1215,en,NULL,,,2021-07-03,MG,2021-07-03,MG
NULL,P1216,en,NULL,,,2021-07-03,MG,2021-07-03,MG
NULL,P1217,en,NULL,robot wife,,2021-07-03,MG,2021-07-03,MG
NULL,P1218,en,NULL,,,2021-07-09,MG,2021-07-09,MG
NULL,P1218,zh,NULL,,,2021-07-09,MG,2021-07-09,MG
NULL,P1219,en,NULL,,,2021-07-09,MG,2021-07-09,MG
NULL,P1219,zh,NULL,,,2021-07-09,MG,2021-07-09,MG
NULL,P1220,en,NULL,,,2021-07-09,MG,2021-07-09,MG
NULL,P1220,zh,NULL,,,2021-07-09,MG,2021-07-09,MG
NULL,P1221,en,NULL,,,2021-07-09,MG,2021-07-09,MG
NULL,P1221,zh,NULL,,,2021-07-09,MG,2021-07-09,MG
NULL,P1222,en,NULL,,,2021-07-09,MG,2021-07-09,MG
NULL,P1222,zh,NULL,,,2021-07-09,MG,2021-07-09,MG
NULL,P1223,en,NULL,,,2021-07-09,MG,2021-07-09,MG
NULL,P1223,zh,NULL,,,2021-07-09,MG,2021-07-09,MG
NULL,P1224,en,NULL,,,2021-07-09,MG,2021-07-23,MG
NULL,P1224,zh,NULL,,,2021-07-09,MG,2021-07-23,MG
NULL,P1225,en,NULL,,,2021-07-09,MG,2021-07-09,MG
NULL,P1226,en,NULL,,,2021-07-09,MG,2021-07-09,MG
NULL,P1227,en,NULL,,,2021-07-09,MG,2021-07-09,MG
NULL,P1228,en,NULL,,,2021-07-09,MG,2021-07-09,MG
NULL,P1229,en,NULL,,,2021-07-09,MG,2021-07-09,MG
NULL,P1230,en,NULL,,,2021-07-09,MG,2021-07-09,MG
NULL,P1231,en,NULL,,,2021-07-09,MG,2021-07-09,MG
NULL,P1231,zh,NULL,,,2021-07-09,MG,2021-07-09,MG
NULL,P1232,en,NULL,,,2021-07-09,MG,2021-07-10,MG
NULL,P1232,zh,NULL,,,2021-07-09,MG,2021-07-10,MG
NULL,P1233,en,NULL,,,2021-07-09,MG,2021-07-09,MG
NULL,P1234,en,NULL,first person narrator,,2021-07-10,MG,2021-07-10,MG
NULL,P1235,en,NULL,,,2021-07-10,MG,2021-07-10,MG
NULL,P1236,en,NULL,,,2021-07-10,MG,2021-07-10,MG
NULL,P1236,zh,NULL,,,2021-07-10,MG,2021-07-11,MG
NULL,P1237,en,NULL,,,2021-07-10,MG,2021-07-11,MG
NULL,P1237,zh,NULL,,,2021-07-10,MG,2021-07-11,MG
NULL,P1238,en,NULL,first person narrator,,2021-07-10,MG,2021-07-11,MG
NULL,P1239,en,NULL,,,2021-07-10,MG,2021-07-10,MG
NULL,P1240,fr,NULL,,,2021-07-10,MG,2021-07-10,MG
NULL,P1240,zh,NULL,,,2021-07-10,MG,2021-07-10,MG
NULL,P1241,en,NULL,,,2021-07-10,MG,2021-07-11,MG
NULL,P1241,zh,NULL,,,2021-07-10,MG,2021-07-11,MG
NULL,P1242,en,NULL,,,2021-07-11,MG,2021-07-11,MG
NULL,P1243,en,NULL,,,2021-07-11,MG,2021-07-11,MG
NULL,P1244,en,NULL,,,2021-07-11,MG,2021-07-11,MG
NULL,P1245,en,NULL,a dinosaur,,2021-07-11,MG,2021-07-11,MG
NULL,P1246,en,NULL,,,2021-07-11,MG,2021-07-11,MG
NULL,P1246,zh,NULL,,,2021-07-11,MG,2021-07-11,MG
NULL,P1247,en,NULL,,,2021-07-11,MG,2021-07-11,MG
NULL,P1247,zh,NULL,,,2021-07-11,MG,2021-07-11,MG
NULL,P1248,en,NULL,,,2021-07-11,MG,2021-07-11,MG
NULL,P1248,zh,NULL,,,2021-07-11,MG,2021-07-11,MG
NULL,P1249,en,NULL,,,2021-07-11,MG,2021-07-11,MG
NULL,P1249,zh,NULL,,,2021-07-11,MG,2021-07-11,MG
NULL,P1250,en,NULL,,,2021-07-11,MG,2021-07-11,MG
NULL,P1250,zh,NULL,,,2021-07-11,MG,2021-07-11,MG
NULL,P1251,en,NULL,first person narrator,,2021-07-14,MG,2021-07-14,MG
NULL,P1252,en,NULL,,,2021-07-14,MG,2021-07-14,MG
NULL,P1252,zh,NULL,,,2021-07-14,MG,2021-07-14,MG
NULL,P1253,en,NULL,,,2021-07-14,MG,2021-07-14,MG
NULL,P1253,zh,NULL,,,2021-07-14,MG,2021-07-14,MG
NULL,P1254,en,NULL,,,2021-07-14,MG,2021-07-14,MG
NULL,P1255,en,NULL,,,2021-07-14,MG,2021-07-14,MG
NULL,P1255,zh,NULL,,,2021-07-14,MG,2021-07-14,MG
NULL,P1256,en,NULL,,,2021-07-14,MG,2021-07-14,MG
NULL,P1256,zh,NULL,,,2021-07-14,MG,2021-07-14,MG
NULL,P1257,en,NULL,,,2021-07-14,MG,2021-07-14,MG
NULL,P1257,zh,NULL,,,2021-07-14,MG,2021-07-14,MG
NULL,P1258,en,NULL,,,2021-07-14,MG,2021-07-14,MG
NULL,P1258,zh,NULL,,,2021-07-14,MG,2021-07-14,MG
NULL,P1259,en,NULL,,,2021-07-14,MG,2021-07-14,MG
NULL,P1259,zh,NULL,,,2021-07-14,MG,2021-07-14,MG
NULL,P1260,en,NULL,,,2021-07-14,MG,2021-07-14,MG
NULL,P1260,zh,NULL,,,2021-07-14,MG,2021-07-14,MG
NULL,P1261,en,NULL,first person narrator,,2021-07-19,MG,2021-07-19,MG
NULL,P1262,en,NULL,,,2021-07-19,MG,2021-07-19,MG
NULL,P1262,zh,NULL,,,2021-07-19,MG,2021-07-19,MG
NULL,P1263,en,NULL,,,2021-07-19,MG,2021-07-19,MG
NULL,P1264,en,NULL,,,2021-07-19,MG,2021-07-19,MG
NULL,P1264,zh,NULL,,,2021-07-19,MG,2021-07-19,MG
NULL,P1265,en,NULL,,,2021-07-19,MG,2021-07-19,MG
NULL,P1266,en,NULL,first person narrator,,2021-07-20,MG,2021-07-20,MG
NULL,P1267,en,NULL,,,2021-07-20,MG,2021-07-20,MG
NULL,P1267,zh,NULL,,,2021-07-20,MG,2021-07-20,MG
NULL,P1268,en,NULL,,,2021-07-20,MG,2021-07-20,MG
NULL,P1268,zh,NULL,,,2021-07-20,MG,2021-07-20,MG
NULL,P1269,en,NULL,,,2021-07-20,MG,2021-07-20,MG
NULL,P1269,zh,NULL,,,2021-07-20,MG,2021-07-20,MG
NULL,P1270,en,NULL,,,2021-07-20,MG,2021-07-20,MG
NULL,P1270,zh,NULL,,,2021-07-20,MG,2021-07-20,MG
NULL,P1271,en,NULL,,,2021-07-20,MG,2021-07-20,MG
NULL,P1271,zh,NULL,,,2021-07-20,MG,2021-07-20,MG
NULL,P1272,en,NULL,,,2021-07-20,MG,2021-07-20,MG
NULL,P1272,zh,NULL,,,2021-07-20,MG,2021-07-20,MG
NULL,P1273,en,NULL,,,2021-07-20,MG,2021-07-20,MG
NULL,P1273,zh,NULL,,,2021-07-20,MG,2021-07-20,MG
NULL,P1274,en,NULL,,,2021-07-21,MG,2021-07-21,MG
NULL,P1274,zh,NULL,,,2021-07-21,MG,2021-07-21,MG
NULL,P1275,en,NULL,,,2021-07-21,MG,2021-07-21,MG
NULL,P1275,zh,NULL,,,2021-07-21,MG,2021-07-21,MG
NULL,P1276,en,NULL,,,2021-07-21,MG,2021-07-21,MG
NULL,P1277,en,NULL,,,2021-07-21,MG,2021-07-21,MG
NULL,P1278,en,NULL,,,2021-07-25,MG,2021-07-25,MG
NULL,P1278,zh,NULL,,,2021-07-25,MG,2021-07-25,MG
AG0627,I0001,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0628,I0002,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0629,I0003,NULL,en,,,2020-04-02,DP,2020-04-02,DP
